101,John,Male,21,78,85,69,90,88
102,Emma,Female,20,92,89,95,91,87
103,Liam,Male,22,65,70,68,72,75
104,Olivia,Female,21,88,84,79,85,90
105,Noah,Male,20,55,60,58,62,57
106,Ava,Female,22,96,94,98,97,95
107,James,Male,21,80,77,82,79,81
108,Sophia,Female,20,73,75,70,74,72
109,Lucas,Male,23,91,89,93,90,92
110,Isabella,Female,21,67,65,69,70,68
111,Ethan,Male,22,84,81,79,83,85
112,Mia,Female,20,76,78,80,82,79
113,Benjamin,Male,21,59,63,61,60,58
114,Charlotte,Female,22,87,90,85,88,86
115,Henry,Male,20,72,74,71,73,75
116,Amelia,Female,21,94,96,93,95,97
117,Alexander,Male,22,81,83,80,82,84
118,Evelyn,Female,20,66,68,65,67,69
119,Michael,Male,23,89,91,88,90,92
120,Harper,Female,21,77,79,76,78,80
